"Date","Open","High","Low","Close","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (20,ma,0)"
"Wed Oct 04 2023 10:48:00 GMT+0530 (India Standard Time)","214.39","214.70","214.35","214.55","215.95","214.51"
"Wed Oct 04 2023 10:51:00 GMT+0530 (India Standard Time)","214.47","214.60","214.25","214.41","215.90","214.43"
"Wed Oct 04 2023 10:54:00 GMT+0530 (India Standard Time)","214.44","214.55","214.10","214.34","215.85","214.35"
"Wed Oct 04 2023 10:57:00 GMT+0530 (India Standard Time)","214.39","214.60","214.05","214.36","215.80","214.28"
"Wed Oct 04 2023 11:00:00 GMT+0530 (India Standard Time)","214.38","214.75","214.35","214.54","215.76","214.26"
"Wed Oct 04 2023 11:03:00 GMT+0530 (India Standard Time)","214.46","214.65","214.35","214.54","215.71","214.25"
"Wed Oct 04 2023 11:06:00 GMT+0530 (India Standard Time)","214.50","214.60","214.15","214.38","215.66","214.25"
"Wed Oct 04 2023 11:09:00 GMT+0530 (India Standard Time)","214.44","214.45","213.85","214.17","215.60","214.25"
"Wed Oct 04 2023 11:12:00 GMT+0530 (India Standard Time)","214.31","214.31","213.55","213.86","215.54","214.24"
"Wed Oct 04 2023 11:15:00 GMT+0530 (India Standard Time)","214.08","214.15","213.60","213.89","215.46","214.25"
"Wed Oct 04 2023 11:18:00 GMT+0530 (India Standard Time)","213.99","214.20","213.99","214.09","215.39","214.27"
"Wed Oct 04 2023 11:21:00 GMT+0530 (India Standard Time)","214.04","214.05","213.70","213.91","215.31","214.26"
"Wed Oct 04 2023 11:24:00 GMT+0530 (India Standard Time)","213.97","213.97","213.40","213.71","215.23","214.24"
"Wed Oct 04 2023 11:27:00 GMT+0530 (India Standard Time)","213.84","213.84","213.45","213.55","215.15","214.21"
"Wed Oct 04 2023 11:30:00 GMT+0530 (India Standard Time)","213.70","213.70","213.00","213.35","215.06","214.18"
"Wed Oct 04 2023 11:33:00 GMT+0530 (India Standard Time)","213.52","213.70","213.30","213.47","214.98","214.14"
"Wed Oct 04 2023 11:36:00 GMT+0530 (India Standard Time)","213.50","213.55","213.35","213.48","214.89","214.10"
"Wed Oct 04 2023 11:39:00 GMT+0530 (India Standard Time)","213.49","213.55","213.10","213.30","214.79","214.04"
"Wed Oct 04 2023 11:42:00 GMT+0530 (India Standard Time)","213.39","213.39","212.75","212.93","214.69","213.96"
"Wed Oct 04 2023 11:45:00 GMT+0530 (India Standard Time)","213.16","213.16","212.50","212.70","214.61","213.88"
"Wed Oct 04 2023 11:48:00 GMT+0530 (India Standard Time)","212.93","212.93","212.55","212.69","214.54","213.78"
"Wed Oct 04 2023 11:51:00 GMT+0530 (India Standard Time)","212.81","213.25","212.50","212.79","214.48","213.70"
"Wed Oct 04 2023 11:54:00 GMT+0530 (India Standard Time)","212.80","212.80","212.10","212.51","214.41","213.61"
"Wed Oct 04 2023 11:57:00 GMT+0530 (India Standard Time)","212.66","212.66","212.05","212.34","214.33","213.51"
"Wed Oct 04 2023 12:00:00 GMT+0530 (India Standard Time)","212.50","212.50","211.65","212.20","214.23","213.39"
"Wed Oct 04 2023 12:03:00 GMT+0530 (India Standard Time)","212.35","212.90","212.35","212.57","214.15","213.29"
"Wed Oct 04 2023 12:06:00 GMT+0530 (India Standard Time)","212.46","212.95","212.46","212.63","214.08","213.21"
"Wed Oct 04 2023 12:09:00 GMT+0530 (India Standard Time)","212.54","212.70","212.50","212.59","214.01","213.13"
"Wed Oct 04 2023 12:12:00 GMT+0530 (India Standard Time)","212.57","212.90","212.50","212.70","213.95","213.07"
"Wed Oct 04 2023 12:15:00 GMT+0530 (India Standard Time)","212.63","213.30","212.63","212.97","213.89","213.02"
"Wed Oct 04 2023 12:18:00 GMT+0530 (India Standard Time)","212.80","213.10","212.55","212.95","213.84","212.97"
"Wed Oct 04 2023 12:21:00 GMT+0530 (India Standard Time)","212.88","213.05","212.50","212.78","213.78","212.91"
"Wed Oct 04 2023 12:24:00 GMT+0530 (India Standard Time)","212.83","212.95","212.50","212.68","213.71","212.86"
"Wed Oct 04 2023 12:27:00 GMT+0530 (India Standard Time)","212.75","212.75","212.50","212.60","213.65","212.81"
"Wed Oct 04 2023 12:30:00 GMT+0530 (India Standard Time)","212.68","212.68","212.20","212.42","213.60","212.76"
"Wed Oct 04 2023 12:33:00 GMT+0530 (India Standard Time)","212.55","212.55","212.00","212.21","213.55","212.70"
"Wed Oct 04 2023 12:36:00 GMT+0530 (India Standard Time)","212.38","212.45","211.90","212.20","213.51","212.64"
"Wed Oct 04 2023 12:39:00 GMT+0530 (India Standard Time)","212.29","212.40","212.20","212.30","213.47","212.59"
"Wed Oct 04 2023 12:42:00 GMT+0530 (India Standard Time)","212.30","212.50","212.25","212.36","213.43","212.56"
"Wed Oct 04 2023 12:45:00 GMT+0530 (India Standard Time)","212.33","212.65","212.30","212.45","213.41","212.55"
"Wed Oct 04 2023 12:48:00 GMT+0530 (India Standard Time)","212.39","212.60","212.20","212.39","213.38","212.53"
"Wed Oct 04 2023 12:51:00 GMT+0530 (India Standard Time)","212.39","212.45","212.15","212.35","213.35","212.51"
"Wed Oct 04 2023 12:54:00 GMT+0530 (India Standard Time)","212.37","212.45","211.45","212.05","213.31","212.49"
"Wed Oct 04 2023 12:57:00 GMT+0530 (India Standard Time)","212.21","212.21","211.50","211.79","213.26","212.46"
"Wed Oct 04 2023 13:00:00 GMT+0530 (India Standard Time)","212.00","212.00","211.10","211.45","213.21","212.42"
"Wed Oct 04 2023 13:03:00 GMT+0530 (India Standard Time)","211.72","211.72","211.30","211.45","213.15","212.37"
"Wed Oct 04 2023 13:06:00 GMT+0530 (India Standard Time)","211.59","211.90","210.90","211.50","213.10","212.31"
"Wed Oct 04 2023 13:09:00 GMT+0530 (India Standard Time)","211.54","211.95","211.30","211.70","213.04","212.27"
"Wed Oct 04 2023 13:12:00 GMT+0530 (India Standard Time)","211.62","212.25","211.62","212.04","212.99","212.23"
"Wed Oct 04 2023 13:15:00 GMT+0530 (India Standard Time)","211.83","212.15","211.75","211.97","212.94","212.18"
"Wed Oct 04 2023 13:18:00 GMT+0530 (India Standard Time)","211.90","212.40","211.90","212.15","212.90","212.14"
"Wed Oct 04 2023 13:21:00 GMT+0530 (India Standard Time)","212.03","212.40","211.90","212.20","212.85","212.11"
"Wed Oct 04 2023 13:24:00 GMT+0530 (India Standard Time)","212.11","212.25","211.80","212.05","212.81","212.08"
"Wed Oct 04 2023 13:27:00 GMT+0530 (India Standard Time)","212.08","212.10","211.80","211.92","212.76","212.05"
"Wed Oct 04 2023 13:30:00 GMT+0530 (India Standard Time)","212.00","212.05","211.65","211.84","212.70","212.02"
"Wed Oct 04 2023 13:33:00 GMT+0530 (India Standard Time)","211.92","211.95","211.50","211.71","212.65","211.99"
"Wed Oct 04 2023 13:36:00 GMT+0530 (India Standard Time)","211.82","211.95","211.50","211.75","212.59","211.97"
"Wed Oct 04 2023 13:39:00 GMT+0530 (India Standard Time)","211.78","212.15","211.65","211.96","212.55","211.95"
"Wed Oct 04 2023 13:42:00 GMT+0530 (India Standard Time)","211.87","212.80","211.87","212.30","212.52","211.95"
"Wed Oct 04 2023 13:45:00 GMT+0530 (India Standard Time)","212.09","212.60","212.09","212.35","212.49","211.95"
"Wed Oct 04 2023 13:48:00 GMT+0530 (India Standard Time)","212.22","212.25","211.90","212.10","212.45","211.93"
"Wed Oct 04 2023 13:51:00 GMT+0530 (India Standard Time)","212.16","212.35","211.95","212.13","212.41","211.92"
"Wed Oct 04 2023 13:54:00 GMT+0530 (India Standard Time)","212.14","212.30","211.85","212.15","212.38","211.93"
"Wed Oct 04 2023 13:57:00 GMT+0530 (India Standard Time)","212.15","212.45","212.10","212.24","212.35","211.95"
"Wed Oct 04 2023 14:00:00 GMT+0530 (India Standard Time)","212.19","212.40","211.75","212.14","212.33","211.98"
"Wed Oct 04 2023 14:03:00 GMT+0530 (India Standard Time)","212.16","212.40","212.10","212.23","212.30","212.02"
"Wed Oct 04 2023 14:06:00 GMT+0530 (India Standard Time)","212.19","212.70","212.15","212.39","212.28","212.07"
"Wed Oct 04 2023 14:09:00 GMT+0530 (India Standard Time)","212.29","212.70","212.29","212.54","212.27","212.11"
"Wed Oct 04 2023 14:12:00 GMT+0530 (India Standard Time)","212.41","213.00","212.41","212.64","212.26","212.14"
"Wed Oct 04 2023 14:15:00 GMT+0530 (India Standard Time)","212.53","212.95","212.53","212.74","212.26","212.18"
"Wed Oct 04 2023 14:18:00 GMT+0530 (India Standard Time)","212.63","212.90","212.45","212.70","212.26","212.20"
"Wed Oct 04 2023 14:21:00 GMT+0530 (India Standard Time)","212.67","212.95","212.40","212.64","212.26","212.23"
"Wed Oct 04 2023 14:24:00 GMT+0530 (India Standard Time)","212.65","212.75","212.50","212.61","212.26","212.25"
"Wed Oct 04 2023 14:27:00 GMT+0530 (India Standard Time)","212.63","212.90","212.63","212.76","212.27","212.30"
"Wed Oct 04 2023 14:30:00 GMT+0530 (India Standard Time)","212.70","212.90","212.50","212.70","212.28","212.34"
"Wed Oct 04 2023 14:33:00 GMT+0530 (India Standard Time)","212.70","212.70","212.05","212.41","212.28","212.37"
"Wed Oct 04 2023 14:36:00 GMT+0530 (India Standard Time)","212.56","212.60","212.25","212.40","212.27","212.41"
"Wed Oct 04 2023 14:39:00 GMT+0530 (India Standard Time)","212.48","212.48","212.00","212.26","212.27","212.42"
"Wed Oct 04 2023 14:42:00 GMT+0530 (India Standard Time)","212.37","212.40","211.90","212.19","212.26","212.42"
"Wed Oct 04 2023 14:45:00 GMT+0530 (India Standard Time)","212.28","212.60","212.15","212.30","212.24","212.41"
"Wed Oct 04 2023 14:48:00 GMT+0530 (India Standard Time)","212.29","212.40","212.10","212.25","212.23","212.42"
"Wed Oct 04 2023 14:51:00 GMT+0530 (India Standard Time)","212.27","212.50","212.25","212.35","212.22","212.43"
"Wed Oct 04 2023 14:54:00 GMT+0530 (India Standard Time)","212.31","212.45","212.20","212.32","212.21","212.44"
"Wed Oct 04 2023 14:57:00 GMT+0530 (India Standard Time)","212.32","212.50","212.10","212.35","212.21","212.45"
"Wed Oct 04 2023 15:00:00 GMT+0530 (India Standard Time)","212.33","212.75","212.10","212.41","212.21","212.46"
"Wed Oct 04 2023 15:03:00 GMT+0530 (India Standard Time)","212.37","213.00","212.37","212.80","212.22","212.49"
"Wed Oct 04 2023 15:06:00 GMT+0530 (India Standard Time)","212.59","212.95","212.59","212.89","212.23","212.51"
"Wed Oct 04 2023 15:09:00 GMT+0530 (India Standard Time)","212.74","213.10","212.60","212.82","212.24","212.53"
"Wed Oct 04 2023 15:12:00 GMT+0530 (India Standard Time)","212.78","212.80","212.45","212.68","212.25","212.53"
"Wed Oct 04 2023 15:15:00 GMT+0530 (India Standard Time)","212.73","212.80","212.35","212.64","212.25","212.52"
"Wed Oct 04 2023 15:18:00 GMT+0530 (India Standard Time)","212.68","212.75","212.00","212.40","212.25","212.51"
"Wed Oct 04 2023 15:21:00 GMT+0530 (India Standard Time)","212.54","212.55","212.10","212.25","212.25","212.49"
"Wed Oct 04 2023 15:24:00 GMT+0530 (India Standard Time)","212.40","212.40","211.70","212.06","212.25","212.46"
"Wed Oct 04 2023 15:27:00 GMT+0530 (India Standard Time)","212.23","212.25","211.70","212.01","212.26","212.42"
