"Date","Open","High","Low","Close","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (20,ma,0)","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist"
"Wed Oct 04 2023 12:21:00 GMT+0530 (India Standard Time)","212.88","213.05","212.50","212.78","213.78","212.91","-0.35","-0.44","0.09"
"Wed Oct 04 2023 12:24:00 GMT+0530 (India Standard Time)","212.83","212.95","212.50","212.68","213.71","212.86","-0.34","-0.42","0.08"
"Wed Oct 04 2023 12:27:00 GMT+0530 (India Standard Time)","212.75","212.75","212.50","212.60","213.65","212.81","-0.33","-0.40","0.07"
"Wed Oct 04 2023 12:30:00 GMT+0530 (India Standard Time)","212.68","212.68","212.20","212.42","213.60","212.76","-0.33","-0.39","0.06"
"Wed Oct 04 2023 12:33:00 GMT+0530 (India Standard Time)","212.55","212.55","212.00","212.21","213.55","212.70","-0.35","-0.38","0.03"
"Wed Oct 04 2023 12:36:00 GMT+0530 (India Standard Time)","212.38","212.45","211.90","212.20","213.51","212.64","-0.36","-0.37","0.02"
"Wed Oct 04 2023 12:39:00 GMT+0530 (India Standard Time)","212.29","212.40","212.20","212.30","213.47","212.59","-0.35","-0.37","0.02"
"Wed Oct 04 2023 12:42:00 GMT+0530 (India Standard Time)","212.30","212.50","212.25","212.36","213.43","212.56","-0.34","-0.36","0.03"
"Wed Oct 04 2023 12:45:00 GMT+0530 (India Standard Time)","212.33","212.65","212.30","212.45","213.41","212.55","-0.32","-0.35","0.04"
"Wed Oct 04 2023 12:48:00 GMT+0530 (India Standard Time)","212.39","212.60","212.20","212.39","213.38","212.53","-0.30","-0.34","0.04"
"Wed Oct 04 2023 12:51:00 GMT+0530 (India Standard Time)","212.39","212.45","212.15","212.35","213.35","212.51","-0.29","-0.33","0.04"
"Wed Oct 04 2023 12:54:00 GMT+0530 (India Standard Time)","212.37","212.45","211.45","212.05","213.31","212.49","-0.30","-0.33","0.03"
"Wed Oct 04 2023 12:57:00 GMT+0530 (India Standard Time)","212.21","212.21","211.50","211.79","213.26","212.46","-0.33","-0.33","0"
"Wed Oct 04 2023 13:00:00 GMT+0530 (India Standard Time)","212.00","212.00","211.10","211.45","213.21","212.42","-0.37","-0.33","-0.04"
"Wed Oct 04 2023 13:03:00 GMT+0530 (India Standard Time)","211.72","211.72","211.30","211.45","213.15","212.37","-0.40","-0.35","-0.05"
"Wed Oct 04 2023 13:06:00 GMT+0530 (India Standard Time)","211.59","211.90","210.90","211.50","213.10","212.31","-0.42","-0.36","-0.05"
"Wed Oct 04 2023 13:09:00 GMT+0530 (India Standard Time)","211.54","211.95","211.30","211.70","213.04","212.27","-0.41","-0.37","-0.04"
"Wed Oct 04 2023 13:12:00 GMT+0530 (India Standard Time)","211.62","212.25","211.62","212.04","212.99","212.23","-0.37","-0.37","0"
"Wed Oct 04 2023 13:15:00 GMT+0530 (India Standard Time)","211.83","212.15","211.75","211.97","212.94","212.18","-0.34","-0.36","0.03"
"Wed Oct 04 2023 13:18:00 GMT+0530 (India Standard Time)","211.90","212.40","211.90","212.15","212.90","212.14","-0.30","-0.35","0.05"
"Wed Oct 04 2023 13:21:00 GMT+0530 (India Standard Time)","212.03","212.40","211.90","212.20","212.85","212.11","-0.26","-0.33","0.07"
"Wed Oct 04 2023 13:24:00 GMT+0530 (India Standard Time)","212.11","212.25","211.80","212.05","212.81","212.08","-0.24","-0.31","0.08"
"Wed Oct 04 2023 13:27:00 GMT+0530 (India Standard Time)","212.08","212.10","211.80","211.92","212.76","212.05","-0.23","-0.30","0.07"
"Wed Oct 04 2023 13:30:00 GMT+0530 (India Standard Time)","212.00","212.05","211.65","211.84","212.70","212.02","-0.22","-0.28","0.06"
"Wed Oct 04 2023 13:33:00 GMT+0530 (India Standard Time)","211.92","211.95","211.50","211.71","212.65","211.99","-0.23","-0.27","0.04"
"Wed Oct 04 2023 13:36:00 GMT+0530 (India Standard Time)","211.82","211.95","211.50","211.75","212.59","211.97","-0.23","-0.26","0.04"
"Wed Oct 04 2023 13:39:00 GMT+0530 (India Standard Time)","211.78","212.15","211.65","211.96","212.55","211.95","-0.21","-0.25","0.05"
"Wed Oct 04 2023 13:42:00 GMT+0530 (India Standard Time)","211.87","212.80","211.87","212.30","212.52","211.95","-0.16","-0.23","0.07"
"Wed Oct 04 2023 13:45:00 GMT+0530 (India Standard Time)","212.09","212.60","212.09","212.35","212.49","211.95","-0.12","-0.21","0.09"
"Wed Oct 04 2023 13:48:00 GMT+0530 (India Standard Time)","212.22","212.25","211.90","212.10","212.45","211.93","-0.10","-0.19","0.08"
"Wed Oct 04 2023 13:51:00 GMT+0530 (India Standard Time)","212.16","212.35","211.95","212.13","212.41","211.92","-0.09","-0.17","0.08"
"Wed Oct 04 2023 13:54:00 GMT+0530 (India Standard Time)","212.14","212.30","211.85","212.15","212.38","211.93","-0.08","-0.15","0.07"
"Wed Oct 04 2023 13:57:00 GMT+0530 (India Standard Time)","212.15","212.45","212.10","212.24","212.35","211.95","-0.06","-0.13","0.07"
"Wed Oct 04 2023 14:00:00 GMT+0530 (India Standard Time)","212.19","212.40","211.75","212.14","212.33","211.98","-0.05","-0.11","0.07"
"Wed Oct 04 2023 14:03:00 GMT+0530 (India Standard Time)","212.16","212.40","212.10","212.23","212.30","212.02","-0.04","-0.10","0.06"
"Wed Oct 04 2023 14:06:00 GMT+0530 (India Standard Time)","212.19","212.70","212.15","212.39","212.28","212.07","-0.01","-0.08","0.07"
"Wed Oct 04 2023 14:09:00 GMT+0530 (India Standard Time)","212.29","212.70","212.29","212.54","212.27","212.11","0.02","-0.06","0.08"
"Wed Oct 04 2023 14:12:00 GMT+0530 (India Standard Time)","212.41","213.00","212.41","212.64","212.26","212.14","0.05","-0.04","0.09"
"Wed Oct 04 2023 14:15:00 GMT+0530 (India Standard Time)","212.53","212.95","212.53","212.74","212.26","212.18","0.08","-0.01","0.10"
"Wed Oct 04 2023 14:18:00 GMT+0530 (India Standard Time)","212.63","212.90","212.45","212.70","212.26","212.20","0.10","0.01","0.10"
"Wed Oct 04 2023 14:21:00 GMT+0530 (India Standard Time)","212.67","212.95","212.40","212.64","212.26","212.23","0.12","0.03","0.08"
"Wed Oct 04 2023 14:24:00 GMT+0530 (India Standard Time)","212.65","212.75","212.50","212.61","212.26","212.25","0.12","0.05","0.07"
"Wed Oct 04 2023 14:27:00 GMT+0530 (India Standard Time)","212.63","212.90","212.63","212.76","212.27","212.30","0.13","0.07","0.07"
"Wed Oct 04 2023 14:30:00 GMT+0530 (India Standard Time)","212.70","212.90","212.50","212.70","212.28","212.34","0.14","0.08","0.06"
"Wed Oct 04 2023 14:33:00 GMT+0530 (India Standard Time)","212.70","212.70","212.05","212.41","212.28","212.37","0.12","0.09","0.03"
"Wed Oct 04 2023 14:36:00 GMT+0530 (India Standard Time)","212.56","212.60","212.25","212.40","212.27","212.41","0.10","0.09","0.01"
"Wed Oct 04 2023 14:39:00 GMT+0530 (India Standard Time)","212.48","212.48","212.00","212.26","212.27","212.42","0.07","0.09","-0.01"
"Wed Oct 04 2023 14:42:00 GMT+0530 (India Standard Time)","212.37","212.40","211.90","212.19","212.26","212.42","0.05","0.08","-0.03"
"Wed Oct 04 2023 14:45:00 GMT+0530 (India Standard Time)","212.28","212.60","212.15","212.30","212.24","212.41","0.03","0.07","-0.04"
"Wed Oct 04 2023 14:48:00 GMT+0530 (India Standard Time)","212.29","212.40","212.10","212.25","212.23","212.42","0.02","0.06","-0.04"
"Wed Oct 04 2023 14:51:00 GMT+0530 (India Standard Time)","212.27","212.50","212.25","212.35","212.22","212.43","0.01","0.05","-0.04"
"Wed Oct 04 2023 14:54:00 GMT+0530 (India Standard Time)","212.31","212.45","212.20","212.32","212.21","212.44","0.01","0.04","-0.03"
"Wed Oct 04 2023 14:57:00 GMT+0530 (India Standard Time)","212.32","212.50","212.10","212.35","212.21","212.45","0.01","0.03","-0.03"
"Wed Oct 04 2023 15:00:00 GMT+0530 (India Standard Time)","212.33","212.75","212.10","212.41","212.21","212.46","0.01","0.03","-0.02"
"Wed Oct 04 2023 15:03:00 GMT+0530 (India Standard Time)","212.37","213.00","212.37","212.80","212.22","212.49","0.04","0.03","0.01"
"Wed Oct 04 2023 15:06:00 GMT+0530 (India Standard Time)","212.59","212.95","212.59","212.89","212.23","212.51","0.08","0.04","0.03"
"Wed Oct 04 2023 15:09:00 GMT+0530 (India Standard Time)","212.74","213.10","212.60","212.82","212.24","212.53","0.10","0.05","0.04"
"Wed Oct 04 2023 15:12:00 GMT+0530 (India Standard Time)","212.78","212.80","212.45","212.68","212.25","212.53","0.10","0.06","0.04"
"Wed Oct 04 2023 15:15:00 GMT+0530 (India Standard Time)","212.73","212.80","212.35","212.64","212.25","212.52","0.10","0.07","0.03"
"Wed Oct 04 2023 15:18:00 GMT+0530 (India Standard Time)","212.68","212.75","212.00","212.40","212.25","212.51","0.07","0.07","0"
"Wed Oct 04 2023 15:21:00 GMT+0530 (India Standard Time)","212.54","212.55","212.10","212.25","212.25","212.49","0.04","0.06","-0.02"
"Wed Oct 04 2023 15:24:00 GMT+0530 (India Standard Time)","212.40","212.40","211.70","212.06","212.25","212.46","0.01","0.05","-0.05"
"Wed Oct 04 2023 15:27:00 GMT+0530 (India Standard Time)","212.23","212.25","211.70","212.01","212.26","212.43","-0.03","0.04","-0.07"
"Thu Oct 05 2023 09:15:00 GMT+0530 (India Standard Time)","212.12","214.20","212.12","213.82","212.30","212.48","0.09","0.05","0.04"
"Thu Oct 05 2023 09:18:00 GMT+0530 (India Standard Time)","212.97","214.40","212.97","213.84","212.35","212.55","0.18","0.07","0.11"
"Thu Oct 05 2023 09:21:00 GMT+0530 (India Standard Time)","213.41","214.40","213.41","214.00","212.40","212.63","0.26","0.11","0.15"
"Thu Oct 05 2023 09:24:00 GMT+0530 (India Standard Time)","213.70","214.45","213.70","214.21","212.45","212.73","0.34","0.16","0.19"
"Thu Oct 05 2023 09:27:00 GMT+0530 (India Standard Time)","213.96","214.45","213.90","214.11","212.49","212.83","0.39","0.21","0.19"
"Thu Oct 05 2023 09:30:00 GMT+0530 (India Standard Time)","214.04","214.35","213.80","214.04","212.54","212.91","0.42","0.25","0.17"
"Thu Oct 05 2023 09:33:00 GMT+0530 (India Standard Time)","214.04","214.04","213.50","213.71","212.57","212.99","0.41","0.28","0.13"
"Thu Oct 05 2023 09:36:00 GMT+0530 (India Standard Time)","213.87","214.00","213.50","213.68","212.60","213.05","0.40","0.31","0.09"
"Thu Oct 05 2023 09:39:00 GMT+0530 (India Standard Time)","213.77","213.85","213.50","213.65","212.63","213.12","0.38","0.32","0.06"
"Thu Oct 05 2023 09:42:00 GMT+0530 (India Standard Time)","213.71","214.20","213.55","213.77","212.66","213.19","0.37","0.33","0.04"
"Thu Oct 05 2023 09:45:00 GMT+0530 (India Standard Time)","213.74","213.95","213.55","213.71","212.70","213.26","0.36","0.34","0.02"
"Thu Oct 05 2023 09:48:00 GMT+0530 (India Standard Time)","213.73","213.73","212.85","213.28","212.73","213.28","0.31","0.33","-0.02"
"Thu Oct 05 2023 09:51:00 GMT+0530 (India Standard Time)","213.50","213.50","212.70","213.09","212.76","213.29","0.25","0.31","-0.07"
"Thu Oct 05 2023 09:54:00 GMT+0530 (India Standard Time)","213.29","213.40","213.25","213.35","212.79","213.32","0.22","0.30","-0.07"
"Thu Oct 05 2023 09:57:00 GMT+0530 (India Standard Time)","213.32","213.50","213.15","213.30","212.81","213.35","0.19","0.28","-0.08"
"Thu Oct 05 2023 10:00:00 GMT+0530 (India Standard Time)","213.31","213.31","212.55","212.90","212.82","213.36","0.14","0.25","-0.11"
"Thu Oct 05 2023 10:03:00 GMT+0530 (India Standard Time)","213.11","213.11","212.00","212.49","212.83","213.36","0.06","0.21","-0.15"
"Thu Oct 05 2023 10:06:00 GMT+0530 (India Standard Time)","212.80","212.80","212.00","212.24","212.83","213.36","-0.02","0.16","-0.19"
"Thu Oct 05 2023 10:09:00 GMT+0530 (India Standard Time)","212.52","212.52","212.05","212.29","212.83","213.37","-0.08","0.11","-0.20"
"Thu Oct 05 2023 10:12:00 GMT+0530 (India Standard Time)","212.40","212.40","212.00","212.15","212.83","213.38","-0.14","0.06","-0.20"
"Thu Oct 05 2023 10:15:00 GMT+0530 (India Standard Time)","212.28","212.35","212.00","212.18","212.83","213.30","-0.18","0.01","-0.20"
"Thu Oct 05 2023 10:18:00 GMT+0530 (India Standard Time)","212.23","212.35","211.80","212.10","212.83","213.21","-0.22","-0.03","-0.19"
"Thu Oct 05 2023 10:21:00 GMT+0530 (India Standard Time)","212.16","212.20","211.95","212.05","212.82","213.11","-0.25","-0.08","-0.17"
"Thu Oct 05 2023 10:24:00 GMT+0530 (India Standard Time)","212.11","212.15","211.95","212.04","212.81","213.01","-0.27","-0.11","-0.16"
"Thu Oct 05 2023 10:27:00 GMT+0530 (India Standard Time)","212.07","212.07","210.40","211.25","212.78","212.86","-0.35","-0.16","-0.19"
